;sector;Performance;diff
BKNG;Consumer Cyclical;;
ANET;Technology;;
BA;Industrials;;
W;Consumer Cyclical;;
ULTA;Consumer Cyclical;;
VMW;Technology;;
PANW;Technology;;
BAP;Financial Services;;
AMZN;Consumer Cyclical;0,11088230500110716;-0,13345661623077656
IRBT;Technology;;
ILMN;Healthcare;;
BIDU;Communication Services;-0,07271997770616963;-0,37946588985997776
RCL;Consumer Cyclical;;
DXC;Technology;;
WYNN;Consumer Cyclical;;
AVGO;Technology;1,2543036904259435;0,18073195477386458
FFIV;Technology;0,06514289879342654;0,08290909639473781
TWOU;Consumer Defensive;;
ATHM;Communication Services;;
WWE;Communication Services;;
AAP;Consumer Cyclical;;
EOG;Energy;;
XLNX;Technology;;
KSS;Consumer Cyclical;;
EVR;Financial Services;;
WDAY;Technology;;
YY;Communication Services;;
FLR;Industrials;;
TRIP;Consumer Cyclical;;
PRU;Financial Services;;
CLR;Energy;;
DLTR;Consumer Defensive;;
OXY;Energy;;
NOAH;Financial Services;;
NTAP;Technology;;
CMA;Financial Services;;
PD;Technology;1,0841004944431638;-0,38367093313804246
WB;Communication Services;;
DELL;Technology;;
PDCE;Energy;;
HAS;Consumer Cyclical;;
TWLO;Communication Services;;
CC;Basic Materials;1,0445204038643634;0,2664256482341164
FL;Consumer Cyclical;;
LYFT;Technology;1,051035397852328;-0,2302865889976985
WEX;Technology;;
DIS;Communication Services;;
HLF;Consumer Defensive;0,008054726387649907;-0,10672571996265806
PSX;Energy;;
NSC;Industrials;;
NCLH;Consumer Cyclical;;
GD;Industrials;;
PRI;Financial Services;1,0257155256048767;0,11400378523666817
NTNX;Technology;;
GRUB;Communication Services;;
CHKP;Technology;0,00463677358903952;-0,03346208969008148
VFC;Consumer Cyclical;;
BLK;Financial Services;1,0721031942055501;0,11109678262803045
FTV;Technology;;
UNP;Industrials;;
ANF;Consumer Cyclical;;
SLB;Energy;1,4480870068029321;0,5155966083209526
AOS;Industrials;;
ZS;Technology;;
CSCO;Technology;;
FSLR;Technology;0,9068153875313362;-0,2798349956549571
BDC;Industrials;0,07404994833466513;0,2353440858703918
DFS;Financial Services;;
NUE;Basic Materials;;
EQT;Energy;;
DOW;Basic Materials;0,9535964242868592;0,03096770489577655
ZNH;Industrials;;
CAT;Industrials;;
PINS;Communication Services;-0,2657363044124166;-0,5970169673637729
AAL;Industrials;;
ETRN;Energy;1,2273100442174085;0,5839867428856269
UPS;Industrials;;
COP;Energy;1,8652817134703321;1,0032433165489145
COMM;Technology;;
UNM;Financial Services;;
MPC;Energy;;
TECK;Basic Materials;;
